MicroMessenger Client,微信中的工具
alipay,支付宝
Youku;5.1.1;Android;4.3;N5117,优酷
ikuacc,优酷
Youku;5.1.1;Android;4.4.4;MI 4LTE,优酷
Youku;5.1.1;Android;4.3;GT-I9508,优酷
"Youku HD;3.9.6;iPhone OS;8.4;iPad2,1",优酷
Youku;5.1.1;Android;5.1;m2 note,优酷
Youku;5.2;Android;5.0;F303,优酷
"Youku;5.0;iPhone OS;8.0;iPhone4,1",优酷
"Youku;5.1;iPhone OS;9.1;iPhone7,2",优酷
Youku;5.1.1;Android;5.0.2;M821,优酷
Youku;5.0.3;Android;4.4.4;HM 2A,优酷
Youku;5.2;Android;4.3;H30-C00,优酷
YouKuHD/80652024 CFNetwork/711.1.16 Darwin/14.0.0,优酷
Youku;4.8.3;Android;4.4.2;SM-N9006,优酷
IQooAppstore,应用商店
"AppStore/2.0 iOS/8.4 model/iPhone7,1 build/12H143 (6; dt:107)",应用商店
MobileMap,移动端地图软件
Android/YQTS,氧气听书
cbox/5.4.0.0 CFNetwork/711.2.23 Darwin/14.0.0,央视影音
News/4.9.6.7 CFNetwork/758.1.6 Darwin/15.0.0,新闻类
News/4.8.7.1 CFNetwork/711.3.18 Darwin/14.0.0,新闻类
ctrip.android.view/6.10.0 Android SDK/2.1.1,携程旅行
2014501; MIUI/KHHCNBH12.0,小米
xiami mobile/Xiami_SDK v0.0.17 build17,虾米
WeChat/6.3.6.16 CFNetwork/758.1.6 Darwin/15.0.0,微信
Weibo/5431 CFNetwork/758.1.6 Darwin/15.0.0,微博
NX511J_5.0.2_weibo_5.4.5_android,微博
MX4_4.4.2_weibo_5.5.0_android,微博
Weibo/5431 CFNetwork/758.0.2 Darwin/15.0.0,微博
GT-N7100_4.1.2_weibo_5.5.0_android,微博
N5209_4.4.4_weibo_5.5.0_android,微博
Weibo/5431 CFNetwork/711.1.16 Darwin/14.0.0,微博
SM-G5308W_4.4.4_weibo_5.3.0_android,微博
Weibo/5269 CFNetwork/758.1.6 Darwin/15.0.0,微博
SM-N9100_5.0.1_weibo_5.4.5_android,微博
Weibo/5431 CFNetwork/711.4.6 Darwin/14.0.0,微博
Weibo/5269 CFNetwork/711.3.18 Darwin/14.0.0,微博
HONOR H30-L01_4.4.2_weibo_5.3.0 Beta_android,微博
QWeiboSDK4iOSDemo/4.61 CFNetwork/758.1.6 Darwin/15.0.0,微博
Tudou/15092520 CFNetwork/758.0.2 Darwin/15.0.0,土豆视频
Tudou/15092520 CFNetwork/711.3.18 Darwin/14.0.0,土豆
Tudou;5.5;Android;4.4.4;A31,土豆
TMA/6.0.0,天猫
qqlive4iphone,腾讯视频
qqlive,腾讯视频
qqlive/3956 CFNetwork/672.1.15 Darwin/14.0.0,腾讯视频
qqlive/3956 CFNetwork/758.1.6 Darwin/15.0.0,腾讯视频
qqlive/3956 CFNetwork/672.1.14 Darwin/14.0.0,腾讯视频
MTOPSDK/1.4.7.11 (Android;4.3;samsung;SM-G7106),淘宝
c-adash.m.taobao.com,淘宝
SOSO MAP LBS SDK,搜搜地图
SohuNews/5.3.0 BuildCode/98,搜狐新闻
SohuNews/5.2.4 BuildCode/96,搜狐新闻
SohuNews/1.1.3 BuildCode/113,搜狐新闻
SohuNews/1.1.4 BuildCode/114,搜狐新闻
SohuNews/5.2.2 BuildCode/94,搜狐新闻
SohuNews/5.2.1 BuildCode/93,搜狐新闻
SOHUVideo/5.0.1.1 CFNetwork/711.5.6 Darwin/14.0.0,搜狐视频
SohuAndroidP2P,搜狐安卓p2p
SogouNovel,搜狗小说
SogouMap for Android,搜狗地图
live4iphone/9997 CFNetwork/758.0.2 Darwin/15.0.0,视频直播软件
live4iphone/9997 CFNetwork/711.4.6 Darwin/14.0.0,视频直播软件
live4iphone/9022 CFNetwork/711.1.16 Darwin/14.0.0,视频直播
